GO Primary Key (Year plus Incident Number),Council District,GO Highest Offense Desc,Crime Type,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate
20185027223,3,THEFT,Theft,2018-07-18,1638 E 3RD ST,N,2018-07-18,G,78702,9.02,3119567,10067939
20183520203,4,THEFT BY SHOPLIFTING,Theft,2018-12-18,5345 N IH 35 SVRD NB,N,2018-12-18,I,78723,21.05,3125094,10087248
20185028262,9,THEFT,Theft,2018-07-25,317 E 6TH ST,N,2018-07-25,G,78701,11,3115265,10070399
20185029765,1,AGG ASSAULT,Agg Assault,2018-08-03,2905 PECAN SPRINGS RD,N,2018-08-05,I,78723,21.07,3132349,10083017
20183020963,6,BURGLARY OF RESIDENCE,Burglary,2018-10-29,13800 LYNDHURST ST,N,2018-10-30,A,78717,203.11,3097629,10147812
20183011094,7,THEFT BY SHOPLIFTING,Theft,2018-10-28,1434 W WELLS BRANCH PKWY,N,2018-11-05,E,78660,18.4,3137594,10134827
20185040455,7,BURGLARY OF VEHICLE,Theft,2018-10-10,2320 GRACY FARMS LN,N,2018-10-12,A,78758,18.49,3123778,10120399
20182691619,10,AGG ASSAULT FAM/DATE VIOLENCE,Agg Assault,2018-09-26,1507 W 39TH HALF ST,N,2018-10-09,B,78756,2.04,3112619,10085714
20182530125,3,THEFT FROM PERSON,Theft,2018-09-10,1105 E CESAR CHAVEZ ST,N,2018-09-10,G,78702,10,3117383,10067848
20185032028,6,THEFT OF BICYCLE,Theft,2018-08-18,12405 DEER FALLS DR,N,2018-10-02,A,78729,204.1,3103963,10134729
20185035222,10,BURGLARY OF VEHICLE,Theft,2018-09-07,11500 JOLLYVILLE RD,N,2018-09-10,A,78759,25,3111458,10123436
20182590447,9,THEFT,Theft,2018-09-16,2330 GUADALUPE ST,C,2018-09-16,B,78705,6.04,3114449,10077690
20185030558,4,BURGLARY OF VEHICLE,Theft,2018-08-09,10623 GOLDEN QUAIL DR,N,2018-08-13,E,78758,18.21,3126402,10112226
20182301651,7,BURGLARY OF RESIDENCE,Burglary,2018-08-18,1304 KAREN AVE,N,2018-10-04,I,78757,15.05,3118461,10095672
20185038817,8,BURGLARY OF VEHICLE,Theft,2018-09-30,8601 FENTON DR,N,2018-10-11,D,78736,17.69,3064341,10058267
20182820783,4,BURGLARY NON RESIDENCE,Burglary,2018-10-09,6623 N LAMAR BLVD,N,2018-10-30,I,78752,15.03,3120771,10095115
20185040703,4,BURGLARY OF VEHICLE,Theft,2018-10-12,5700 CAMERON RD,N,2018-10-15,I,78723,21.05,3126690,10088315
20181841751,9,BURGLARY OF RESIDENCE,Burglary,2018-07-03,2505 LONGVIEW ST,N,2018-07-05,B,78705,6.03,3111781,10078698
20182570908,7,AUTO THEFT,Auto Theft,2018-09-14,3000 KRAMER LN,N,2018-10-23,A,78758,18.49,3119393,10117651
20181931468,9,THEFT BY SHOPLIFTING,Theft,2018-07-12,525 N LAMAR BLVD,C,2018-07-12,G,78703,12,3110740,10071581
20182670397,2,BURGLARY OF VEHICLE,Theft,2018-09-24,6807 BILL HUGHES RD,N,2018-09-26,F,78745,24.22,3101361,10043545
20182170590,9,BURGLARY OF VEHICLE,Theft,2018-08-05,201 LAVACA ST,C,2018-08-05,G,78701,11,3113238,10069720
20182290668,4,BURGLARY OF RESIDENCE,Burglary,2018-08-17,7205 EASTCREST DR,N,2018-08-20,I,78752,18.04,3124549,10095555
20182881458,9,AGG ASSAULT,Agg Assault,2018-10-15,717 E 7TH ST,C,2018-10-15,G,78701,11,3116761,10070297
20188004144,3,THEFT,Theft,2018-10-18,1300 CROSSING PL,N,2018-10-29,H,78741,23.17,3123924,10059981
20185028385,6,THEFT OF LICENSE PLATE,Theft,2018-07-25,8312 FATHOM CIR,N,2018-07-26,A,78750,204.05,3102221,10131630
20188003888,9,THEFT OF BICYCLE,Theft,2018-10-04,904 W 22ND HALF ST,N,2018-10-08,B,78705,6.04,3112840,10077416
