GO Primary Key (Year plus Incident Number),Council District,GO Highest Offense Desc,Crime Type,GO Report Date,GO Location,GO X Coordinate,GO Y Coordinate,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract
20185035608,10,THEFT,Theft,10-Sep-18,9100 ECHO POINT CV,3106876.00,10115880,N,11-Sep-18,A,78759,17.57
20185032069,8,THEFT,Theft,18-Aug-18,2901 S CAPITAL OF TEXAS HWY NB,3094135.00,10066586,C,19-Oct-18,D,78746,19.1
20185032095,9,THEFT,Theft,18-Aug-18,1405 W 6TH ST,3108601.00,10072717,,,B,78703,12
20185023478,8,BURGLARY OF VEHICLE,Theft,21-Jun-18,11008 ARIOCK LN,3066162.00,10041400,N,25-Jun-18,D,78739,17.7
20182831474,3,AUTO THEFT,Auto Theft,10-Oct-18,703 SHADY LN,3128771.00,10065741,,,C,78702,21.11
20182611707,7,THEFT,Theft,18-Sep-18,12900 N IH 35 SVRD SB,3134231.00,10124160,C,19-Sep-18,E,78753,18.48
20182100961,5,THEFT,Theft,29-Jul-18,1120 S LAMAR BLVD,3107907.00,10066139,N,1-Aug-18,D,78704,13.03
20188002677,7,THEFT BY SHOPLIFTING,Theft,10-Jul-18,1434 W WELLS BRANCH PKWY,3137594.00,10134827,N,18-Jul-18,E,78660,18.4
20188003794,9,THEFT FROM PERSON,Theft,22-Sep-18,E 6TH ST / RED RIVER ST,3116098.00,10070216,N,1-Oct-18,G,78701,11
20188002767,7,THEFT OF BICYCLE,Theft,21-Jul-18,7701 LAZY LN,3120396.00,10100318,C,25-Jul-18,I,78757,15.04
20185029356,10,BURGLARY OF VEHICLE,Theft,1-Aug-18,4605 MADRONA DR,3106753.00,10092202,N,2-Aug-18,B,78731,1.02
20182420273,7,BURG NON RESIDENCE SHEDS,Burglary,30-Aug-18,11300 CIRCLE BEND DR,3129634.00,10113521,N,30-Aug-18,E,78758,18.45
20182610820,9,AUTO THEFT,Auto Theft,18-Sep-18,600 SANDRINGHAM CIR,3112565.00,10059771,N,28-Sep-18,H,78704,23.08
